,ProductName,PriceSale,Brand,RamCapacity,DisplaySize,DisplayResolution,CPUBrand,PinCapacity,PinCell,Bluetooth,Weight,OS,DiskSpace
179,Laptop Asus Rog Strix G15 G513RC HN038W,25790000,ASUS,8,15.6,1920x1080,INTEL,56.0,4,5,2.1,WINDOW,512
180,Apple Macbook Pro 13 Touch Bar i5 1.4 256GB 2020 I Chính hãng Apple Việt Nam,27000000,APPLE,8,13.3,2560x1600,INTEL,,,5,1.4,MACOS,256
181,Laptop Dell Gaming G15 Ryzen Edition 5515 70266674,24990000,DELL,8,15.6,1920x1080,INTEL,56.0,4,5,2.5,WINDOW,512
182,Laptop LG Gram 2021 14ZD90P-G.AX56A5 14 inch,24490000,LG,16,14.0,1920x1200,INTEL,72.0,,5,,FREE,512
183,Laptop MSI Gaming GF65 THIN 10UE-286VN,25490000,MSI,16,15.6,1920x1080,INTEL,51.0,3,5,1.86,WINDOW,512
184,Laptop LG Gram 2021 14ZD90P-G.AX56A5 14 inch,24490000,LG,16,14.0,1920x1200,INTEL,72.0,,5,,FREE,512
185,Laptop HP DQ2031TG,10490000,HP,4,14.0,1920x1080,INTEL,41.0,3,4,1.47,WINDOW,128
186,Laptop MSI Gaming GF65 THIN 10UE-286VN,25490000,MSI,16,15.6,1920x1080,INTEL,51.0,3,5,1.86,WINDOW,512
187,Laptop ASUS TUF Gaming FA506IU-AL127T,25990000,ASUS,8,15.6,1920x1080,INTEL,90.0,4,5,2.3,WINDOW,512
188,Laptop Gaming Acer Aspire 7 A715-42G-R05G NH.QAYSV.007,16790000,ACER,8,15.6,1920x1080,INTEL,48.0,,5,2.1,WINDOW,512
189,Laptop ASUS ExpertBook B1500CEAE-BQ2033T,16990000,ASUS,8,15.6,1920x1080,INTEL,42.0,3,5,1.73,WINDOW,512
190,Laptop MSI Modern 15 A11M-1024VN,15490000,MSI,8,15.6,1920x1080,INTEL,39.0,3,5,1.6,WINDOW,512
191,Laptop ASUS ZenBook Flip UX363EA,22990000,ASUS,8,13.3,1920x1080,INTEL,67.0,4,5,1.3,WINDOW,512
192,Laptop ASUS Gaming ROG Zephyrus G14 GA401QH-HZ035T,27590000,ASUS,8,14.0,1920x1080,INTEL,76.0,4,5,1.7,WINDOW,512
193,Laptop Asus Vivobook S533EA BN462W,16290000,ASUS,8,15.6,1920x1080,INTEL,50.0,3,5,1.8,WINDOW,512
195,Laptop ASUS  ROG Zephyrus S17 GX703HS-K4016T,94090000,ASUS,32,17.3,2560x1440,INTEL,90.0,4,5,2.6,WINDOW,2048
196,Laptop ASUS ZenBook UX371EA-HL725WS,35490000,ASUS,16,13.3,3840x2160,INTEL,67.0,4,5,1.2,WINDOW,1024
197,Laptop Asus Zenbook UX325EA KG658W,26990000,ASUS,16,13.3,1920x1080,INTEL,67.0,4,5,1.14,WINDOW,512
198,Laptop Dell Vostro 3400 70253900,16490000,DELL,8,14.0,,INTEL,,3,4,1.58,WINDOW,256
199,Laptop MSI Creator Z16 A11UET-217VN,47990000,MSI,32,16.0,2560x1600,INTEL,90.0,4,5,2.2,WINDOW,1024
200,Laptop Lenovo Yoga 6 13ARE05 82FN0014VN,16490000,LENOVO,8,13.3,1920x1080,INTEL,60.0,,5,1.32,WINDOW,512
201,Laptop ASUS Gaming ROG Strix G15 G513RM-HQ055W,39490000,ASUS,16,15.6,2560x1440,INTEL,90.0,4,5,,WINDOW,512
202,Laptop Dell Inspirion 15 3000 L3511 7125BLK,21490000,DELL,16,15.6,1920x1080,INTEL,42.0,3,,2.19,WINDOW,1024
203,Laptop LG Gram 2021 16ZD90P-G.AX54A5 16 inch,24990000,LG,8,16.0,2560x1600,INTEL,80.0,,5,,,512
204,Apple MacBook Pro 13 Touch Bar M1 512GB 2020 I Chính hãng Apple Việt Nam,36000000,APPLE,8,13.3,2560x1600,,,,5,1.4,MACOS,512
205,Laptop Lenevo Ideapad 3 14ITL6,13990000,LENEVO,8,14.0,1920x1080,INTEL,38.0,,5,1.41,WINDOW,512
206,Laptop Dell Inspiron 3511 P112F001BBL,16990000,DELL,4,15.6,1920x1080,INTEL,41.0,3,5,1.7,WINDOW,512
207,Laptop HP Envy x360 Convertible 13 AY1056 601Q8PA,25990000,HP,8,13.3,1920x1080,INTEL,51.0,3,5,1.3,WINDOW,256
208,Laptop Dell Inspiron 15 5510 0WT8R1,20590000,DELL,8,15.6,1920x1080,INTEL,54.0,4,5,1.75,WINDOW,256
209,Laptop MSI Modern 14 B11MOU-1027VN,11590000,MSI,8,14.0,1920x1080,INTEL,39.0,3,5,1.3,WINDOW,256
210,Laptop Dell Inspiron 14 5406-5191SLV,19490000,DELL,8,14.0,1366x768,INTEL,,3,5,1.72,WINDOW,
211,Laptop Fujitsu CH9C13A1 4ZR1G97615,17990000,FUJITSU,8,13.3,1920x1080,INTEL,,2,5,,WINDOW,512
212,Laptop ASUS TUF Dash F15 FX517ZC,23590000,ASUS,8,15.6,1920x1080,INTEL,76.0,4,5,2.0,WINDOW,512
213,Laptop HP Pavilion 15-EG0505TX 46M03PA,18990000,HP,8,15.6,1920x1080,INTEL,41.04,3,5,1.701,WINDOW,512
214,Laptop Acer Aspire 5 A515-55-35SE,10790000,ACER,4,15.6,1080x1920,INTEL,,,,,WINDOW,128
215,Laptop HP 240 G8 519A7PA,10990000,HP,4,14.0,1920x1080,INTEL,41.0,3,4,1.47,WINDOW,256
216,Laptop Lenovo Gaming L340-15IRH 81LK01J3VN,16990000,LENOVO,8,15.6,1920x1080,INTEL,45.0,3,4,2.19,WINDOW,512
217,Laptop HP 14-DQ2055WM 39K15UA - Nhập khẩu chính hãng,11490000,HP,4,14.0,1920x1080,INTEL,41.0,3,4,1.46,WINDOW,256
218,Laptop Acer Aspire 5 A515-56-36UT,10440000,ACER,4,15.6,,INTEL,,,5,,WINDOW,128
219,Laptop Asus Expertbook P2451FA-BV3113,14490000,ASUS,8,14.0,1366x768,INTEL,48.0,3,5,1.52,,256
220,Laptop Asus Expertbook B9400CEA KC0791,32390000,ASUS,16,14.0,1920x1080,INTEL,66.0,4,5,1.01,WINDOW,1024
221,Laptop Lenovo Yoga Duet 7 13IML05,28990000,LENOVO,8,13.0,2160x1350,INTEL,42.0,,5,,WINDOW,512
222,Laptop MSI Modern 14 B10MW,19790000,MSI,8,14.0,1920x1080,INTEL,39.0,3,5,1.3,WINDOW,512
223,Laptop Asus Vivobook 15 R565EA UH51T,14490000,ASUS,8,15.6,1920x1080,INTEL,37.0,2,4,1.7,WINDOW,256
224,Laptop Lenovo Ideapad Gaming 315ACH6 82K2008VVN,19490000,LENOVO,8,15.6,1920x1080,INTEL,45.0,,5,2.25,WINDOW,512
225,Laptop ASUS Gaming ROG Strix G15 G513RW-HQ223W,51990000,ASUS,16,15.6,2560x1440,INTEL,90.0,4,5,2.3,WINDOW,1024
226,Laptop Dell Vostro 5415 V4R55500U015W,20190000,DELL,8,14.0,1920x1080,INTEL,54.0,4,5,1.432,WINDOW,512
227,Laptop Dell Vostro 55410 V4I5214W,20990000,DELL,8,14.0,1920x1080,INTEL,54.0,4,5,1.44,WINDOW,512
228,Laptop Dell Vostro 15 3510 7T2YC1,18990000,DELL,8,15.6,1920x1080,INTEL,42.0,3,4,1.7,WINDOW,512
229,Laptop Asus VivoBook Flip 14 TM420UA-EC182W,17990000,ASUS,8,14.0,1920x1080,INTEL,,,5,1.5,,512
230,Laptop Asus Tuf Gaming FA707RC HX130X,26990000,ASUS,8,17.3,1920x1080,INTEL,56.0,4,5,2.6,WINDOW,512
231,Laptop ASUS TUF DASH F15 FX516PC-HN002T,22990000,ASUS,8,15.6,1920x1080,INTEL,76.0,4,5,2.0,WINDOW,512
232,Laptop MSI Gaming GF63 Thin 11UD 473,19290000,MSI,8,15.6,1920x1080,INTEL,51.0,3,5,1.86,WINDOW,512
233,Laptop HP Zbook Firefly 14 G8 1A2F1AV,30490000,HP,8,14.0,1920x1080,INTEL,45.0,3,5,1.41,WINDOW,512
234,Laptop Asus TUF Gaming A15 A15 FA507RR-HN835W,37790000,ASUS,16,15.6,1080x1920,INTEL,90.0,4,5,2.2,WINDOW,512
235,Laptop ASUS ExpertBook B5 Flip B5302FEA-LG0478T,22490000,ASUS,8,13.3,1920x1080,INTEL,66.0,4,5,1.2,WINDOW,512
236,Laptop HP 15-EF2127 4J0V2UA,13490000,HP,8,15.6,1920x1080,INTEL,41.0,3,5,1.69,WINDOW,256
237,Laptop Dell Vostro 3405 V4R53500U001W,14890000,DELL,4,14.0,1920x1080,INTEL,45.0,3,5,1.64,WINDOW,256
238,Laptop ASUS Vivobook R565EA-UH31T Nhập Khẩu Chính Hãng,9990000,ASUS,4,15.6,1920x1080,INTEL,37.0,2,4,1.8,WINDOW,128
239,Laptop HP 14S-FQ1080AU 4K0Z7PA,10390000,HP,4,14.0,1366x768,INTEL,41.0,3,4,1.47,WINDOW,256
240,Laptop HP Envy X360 13M-BD0033DX,24490000,HP,8,13.3,1920x1080,INTEL,51.0,3,5,1.32,WINDOW,512
241,Laptop MSI Modern 14 B11MOU-1032VN,18290000,MSI,8,14.0,1920x1080,INTEL,39.0,3,5,1.3,WINDOW,512
242,Laptop ASUS ZenBook UM3402YA-KM074W,23190000,ASUS,8,14.0,2880x1800,INTEL,75.0,4,5,1.39,WINDOW,512
243,Laptop ASUS VivoBook Flip TM420IA-EC031T,17190000,ASUS,8,14.0,1920x1080,INTEL,50.0,3,5,1.5,WINDOW,512
244,Laptop Lenovo ThinkBook 15 G2 ITL 20VE00UQVN,21190000,LENOVO,8,15.6,1920x1080,INTEL,45.0,,5,1.7,WINDOW,512
245,Laptop Acer Gaming Aspire 7 A715-42G-R6ZR NH.QAYSV.003,20890000,ACER,8,15.6,1920x1080,INTEL,48.0,4,5,2.1,WINDOW,512
246,Laptop MSI Prestige 14 EVO-089VN,27490000,MSI,16,14.0,1920x1080,INTEL,52.0,3,5,1.3,WINDOW,512
247,Laptop LG Gram 2021 14Z90P-G.AH75A5 14 inch,40190000,LG,16,14.0,1920x1200,INTEL,80.0,,5,,WINDOW,512
248,Laptop Acer Gaming Aspire 7 A715-75G-58U4 NH.Q97SV.004,17290000,ACER,8,15.6,1920x1080,INTEL,48.0,,5,2.15,WINDOW,512
249,Laptop HP 15 Z-EF2000 2J4V7AV Nhập khẩu chính hãng,12340000,HP,8,15.6,1366x768,INTEL,41.0,3,4,1.7,WINDOW,256
250,Laptop ASUS VivoBook X515EA-BQ2351W,11190000,ASUS,4,15.6,1920x1080,INTEL,37.0,2,4,1.8,WINDOW,512
251,Laptop ASUS ZenBook UP5401ZA-KN005W,26690000,ASUS,8,14.0,2880x1800,INTEL,63.0,3,5,1.4,WINDOW,
252,Laptop ASUS VivoBook R564JA-UH31T Nhập Khẩu Chính Hãng,10990000,ASUS,4,15.6,1920x1080,INTEL,37.0,,,1.68,WINDOW,128
253,Laptop ASUS ROG Zephyrus M16 GU603HR-K8036T,68990000,ASUS,32,16.0,2560x1600,INTEL,90.0,4,5,1.9,WINDOW,2048
254,Laptop Acer Aspire 5 A514-54-540F NX.A28SV.005,14590000,ACER,8,14.0,1920x1080,INTEL,48.0,3,5,1.45,WINDOW,512
255,Laptop Lenovo Ideapad 3,7990000,LENOVO,4,15.6,1080x1920,INTEL,,,5,84.0,,128
256,Laptop ASUS VivoBook X415EA-EK675W,10290000,ASUS,4,14.0,1920x1080,INTEL,37.0,2,4,1.6,WINDOW,256
257,Laptop ASUS VivoBook X515EP-EJ449W,18490000,ASUS,8,15.6,1920x1080,INTEL,37.0,2,4,1.8,WINDOW,512
258,Laptop Acer Nitro 5 AN515-55-5923 (NH.Q7NSV.004),19590000,ACER,8,15.6,1920x1080,INTEL,57.5,4,5,2.3,WINDOW,512
259,Laptop Asus TUF Gaming A15 FA507RC-HN051W,23990000,ASUS,8,15.6,1080x1920,INTEL,56.0,4,5,2.2,WINDOW,512
260,Laptop Lenovo Yoga 7 Pro 14IHU5 82NH008TVN,29690000,LENOVO,16,14.0,2880x1800,INTEL,61.0,,5,1.3,WINDOW,1024
261,Laptop Dell Inspiron 7306 N3I5202W,26590000,DELL,8,13.3,1920x1080,INTEL,60.0,4,5,1.37,WINDOW,512
262,Laptop ASUS ZenBook UX325EA-KG363T,20490000,ASUS,8,13.3,1920x1080,INTEL,,4,5,1.14,WINDOW,512
263,Laptop HP Envy X360 13-BD0530TU 4Y0Y4PA,23590000,HP,8,13.3,1920x1080,INTEL,51.0,3,5,1.32,WINDOW,512
264,Laptop Lenovo Yoga Slim 7 Carbon 14ACN6 82L0005AVN,26990000,LENOVO,16,14.0,2880x1800,INTEL,61.0,,5,1.1,WINDOW,1024
265,Laptop Lenovo Ideapad 5 15ALC05 82LN00CEVN,14490000,LENOVO,8,15.6,1920x1080,INTEL,45.0,,5,1.66,WINDOW,512
266,Laptop MSI Gaming GF63 10SC 812VN,19590000,MSI,8,15.6,1920x1080,INTEL,51.0,3,5,1.86,WINDOW,512
267,Laptop MSI Gaming BRAVO 15 A4DCR-270VN,18790000,MSI,8,15.6,1920x1080,INTEL,,3,5,1.8,WINDOW,256
268,Laptop Dell Vostro 3400 70270644,12050000,DELL,8,14.0,1920x1080,INTEL,42.0,3,,1.64,WINDOW,256
269,Laptop Dell Latitude 3520 70251594,18990000,DELL,8,15.6,1080x1920,INTEL,41.0,3,5,1.79,FREE,256
270,Laptop ASUS ROG Strix G15 G513IC-HN002T,25990000,ASUS,8,15.6,1920x1080,INTEL,56.0,4,5,2.1,WINDOW,512
271,Macbook Pro 16 M1 Max 10 CPU - 32 GPU 64GB 1TB 2021 | Chính hãng Apple Việt Nam,99990000,APPLE,64,16.2,3456x2234,INTEL,,,5,2.1,MACOS,1024
272,iMac 24 2021 M1 8GPU 16GB 512GB I Chính hãng Apple Việt Nam,45990000,APPLE,16,24.0,4480x2520,INTEL,,,5,4.46,MACOS,512
273,Laptop ASUS Zenbook UX425EA,20490000,ASUS,8,14.0,1920x1080,INTEL,67.0,4,5,1.17,WINDOW,512
274,Laptop Dell Vostro 3500 V5I3001W,14490000,DELL,8,15.6,1920x1080,INTEL,42.0,3,5,1.78,WINDOW,256
275,Laptop ASUS VivoBook D515DA-EJ1364W,9990000,ASUS,4,15.6,1920x1080,INTEL,37.0,2,4,1.8,WINDOW,512
276,Macbook Pro 14 inch 2021 M1 Pro 8 CPU - 14 GPU 32GB 512GB sạc 96W | Chính hãng Apple Việt Nam,57990000,APPLE,32,14.2,3024x1964,INTEL,,,5,1.6,,512
277,Laptop LG Gram 2021 16Z90P-G.AH73A5 16 inch,38590000,LG,16,16.0,2560x1600,INTEL,80.0,,5,,WINDOW,256
278,Laptop Lenovo Ideapad 3,10440000,LENOVO,4,15.6,1366x768,INTEL,35.0,,5,1.85,FREE,1024
279,Laptop Lenovo Yoga Slim 7 14ITL05,21990000,LENOVO,8,14.0,1920x1080,INTEL,60.7,4,5,1.5,WINDOW,512
280,Laptop ASUS TUF Gaming FX505DT-HN478T,17790000,ASUS,,15.6,1920x1080,INTEL,48.0,4,5,2.2,WINDOW,512
281,Laptop Dell Inspiron 13 7000 I7306-5934SLV-PUS,20990000,DELL,8,13.3,1920x1080,INTEL,,,5,1.3,,512
282,Laptop ASUS TUF Gaming FX505DT-HN478T,17790000,ASUS,,15.6,1920x1080,INTEL,48.0,4,5,2.2,WINDOW,512
283,Laptop ASUS VivoBook A515EA-BQ1530T,11990000,ASUS,4,15.6,1920x1080,INTEL,42.0,3,5,1.7,WINDOW,512
284,iMac 24 2021 M1 8GPU 16GB 256GB I Chính hãng Apple Việt Nam,40500000,APPLE,16,24.0,4480x2520,INTEL,,,5,4.46,MACOS,256
285,Laptop Acer Predator Helios 300 PH315-53-770L NH.Q7XSV.002,32990000,ACER,8,15.6,1920x1080,INTEL,59.0,4,5,2.2,WINDOW,512
286,Apple iMac 21.5 2020 i5 2.3 8GB 256GB Chính Hãng (MHK03),22000000,APPLE,8,21.5,1080x1920,INTEL,,,4,5.44,MACOS,256
287,Laptop MSI Gaming Alpha 15 A4DEK-027VN,27590000,MSI,8,15.6,1920x1080,INTEL,65.0,,5,2.4,WINDOW,512
288,Laptop MSI Gaming GS66 Stealth 10UE-200VN,52490000,MSI,16,15.6,1920x1080,INTEL,99.9,4,5,2.1,WINDOW,2048
289,Laptop ASUS VivoBook M513UA-L1221T,18090000,ASUS,8,15.6,1920x1080,INTEL,42.0,3,5,1.8,WINDOW,512
290,Apple MacBook Air 13 256GB 2020 I I Chính hãng Apple Việt Nam,23020000,APPLE,8,13.3,2560x1600,INTEL,,,5,1.29,MACOS,256
291,Laptop Asus Expertbook B1500CEPE EJ0727T,17590000,ASUS,8,15.6,1920x1080,INTEL,42.0,3,5,1.73,WINDOW,512
292,Laptop Acer Swift 5 SF514-55T-51NZ NX.HX9SV.002,22690000,ACER,8,14.0,1920x1080,INTEL,40.0,4,5,,WINDOW,512
293,Macbook Pro 14 M1 Pro 10 CPU - 16 GPU 32GB 512GB 2021 | Chính hãng Apple Việt Nam,63500000,APPLE,32,14.2,3024x1964,INTEL,,,5,,MACOS,512
294,Laptop Lenovo Yoga 6 13ALC6,19490000,LENOVO,8,13.3,1920x1080,INTEL,60.0,,5,1.31,WINDOW,512
295,Laptop ASUS ROG Strix G15 G513QR-HQ264T,39590000,ASUS,16,15.6,1080x1920,INTEL,90.0,4,5,2.3,WINDOW,512
296,Laptop HP 15 DY2089MS,18990000,HP,12,15.6,1920x1080,INTEL,41.0,3,4,1.69,WINDOW,256
297,Laptop ASUS TUF Dash 15 FX516PM-HN002W,28990000,ASUS,8,15.6,1080x1920,INTEL,76.0,4,5,,WINDOW,512
298,Laptop Acer Aspire 3 A315-57G-31YD NX.HZRSV.008,12290000,ACER,4,15.6,1920x1080,INTEL,36.0,3,4,1.9,WINDOW,256
299,Laptop LG Gram 2021 17ZD90P-G.AX71A5 17 inch,28490000,LG,16,17.0,2560x1600,INTEL,80.0,,5,1.35,,256
300,Laptop ASUS Gaming ROG Zephyrus G15 GA503QC-HN074T,32590000,ASUS,16,15.6,1920x1080,INTEL,90.0,4,5,1.9,WINDOW,512
301,Laptop Dell Vostro 3405 V4R53500U003W,16590000,DELL,8,14.0,1920x1080,INTEL,45.0,3,5,1.6,WINDOW,
302,Laptop Gaming Acer Nitro 5 AN515-56-51N4 NH.QBZSV.002,21990000,ACER,8,15.6,1920x1080,INTEL,48.0,4,5,2.45,WINDOW,512
303,Laptop Dell gaming G15 5511 4XJ74 Nhập khẩu chính hãng,26990000,DELL,8,15.6,1920x1080,INTEL,56.0,3,5,2.81,WINDOW,256
304,Laptop Dell Inspiron 3501 5580BLK - Nhập khẩu chính hãng,18590000,DELL,,15.6,1920x1080,INTEL,42.0,,5,96.0,WINDOW,256
305,Laptop Lenovo Ideapad 3 14ITL6,14390000,LENOVO,8,14.0,1920x1080,INTEL,38.0,2,5,1.41,WINDOW,512
306,Laptop Lenovo Yoga Slim Carbon 14ANC6 82l0005BVN,29990000,LENOVO,16,14.0,2880x1800,INTEL,61.0,,5,1.1,WINDOW,1024
307,Laptop Gaming Acer Nitro 5 AN515-45-R0B6 NH.QBCSV.001,30290000,ACER,8,15.6,1920x1080,INTEL,57.0,4,5,2.2,WINDOW,512
308,Lenovo ideapad 3 15ITL 82H801QUS,15990000,LENOVO,12,15.6,1920x1080,INTEL,45.0,,5,1.65,WINDOW,256
309,Laptop HP Gaming Victus 16-E0168AX 4R0U6PA,25990000,HP,8,16.1,1920x1080,INTEL,70.0,4,5,2.25,WINDOW,512
310,Laptop HP Pavilion 15-EG0539TU 4P5G6PA,16990000,HP,8,15.6,1920x1080,INTEL,41.0,3,5,1.75,WINDOW,512
311,Laptop MSI Katana GF66 11UC-641VN,25290000,MSI,8,15.6,1920x1080,INTEL,53.5,3,5,2.1,WINDOW,512
312,Laptop MSI Prestige 14 A11SCX-282VN,29590000,MSI,8,14.0,1920x1080,INTEL,52.0,3,5,1.29,WINDOW,512
313,Laptop Lenovo Legion 5 15ITH6 14ANCH 82JK007SVN,29990000,LENOVO,8,15.6,1920x1080,INTEL,60.0,4,5,2.4,WINDOW,512
314,Laptop Dell Vostro 3400 C734G,15660000,DELL,8,14.0,1920x1080,INTEL,,3,,,WINDOW,256
315,Laptop Lenovo Gaming Legion 5 15ACH6H 82JU00DGVN,36990000,LENOVO,8,15.6,1920x1080,INTEL,80.0,4,5,2.4,WINDOW,512
316,Laptop Evo Asus Expertbook B9400CEA-KC1013W,26690000,ASUS,8,14.0,1920x1080,INTEL,66.0,4,5,1.01,WINDOW,512
317,Laptop MSI Modern 14 B11MOU 1033VN,18490000,MSI,8,14.0,1920x1080,INTEL,39.0,3,5,1.3,,512
318,Laptop Asus Vivobook Pro M3401QA KM025T,20290000,ASUS,8,14.0,2880x1800,INTEL,63.0,3,5,1.4,WINDOW,512
319,Laptop Lenovo Yoga Slim 7I Carbon 13ITL5,26640000,LENOVO,16,13.3,2560x1600,INTEL,50.0,4,5,,WINDOW,512
320,Laptop Lenovo Ideapad 3 15ALC6,14490000,LENOVO,8,15.6,1920x1080,INTEL,45.0,,5,1.65,WINDOW,256
321,Laptop MSI Modern 15 A11M,17490000,MSI,8,15.6,1920x1080,INTEL,52.0,,5,1.6,WINDOW,512
322,Laptop Lenovo Ideapad 3i,13990000,LENOVO,8,14.0,1920x1080,INTEL,45.0,,,,WINDOW,512
323,Laptop Lenovo Yoga 6 13ALC6 82ND0034VN,15490000,LENOVO,8,13.3,1920x1080,INTEL,60.0,,5,1.31,WINDOW,512
324,LAPTOP DELL INSPIRON 3505 i3505-A542BLK,13990000,DELL,8,15.6,1920x1080,INTEL,,3,,1.83,WINDOW,256
325,Laptop MSI Modern 14 B10MW-646VN,17190000,MSI,8,14.0,1920x1080,INTEL,39.0,3,5,1.3,WINDOW,512
326,Laptop MSI Gaming Pulse GL66 11UDK-255VN,30990000,MSI,16,15.6,1080x1920,INTEL,53.5,3,5,2.3,WINDOW,512
327,Laptop Asus Expertbook B3402FEA-EC0960W,18990000,ASUS,8,14.0,1080x1920,INTEL,50.0,3,5,1.61,WINDOW,512
328,Laptop Lenovo Gaming Legion 5 15ARH05 82B500GTVN,24590000,LENOVO,8,15.6,1920x1080,INTEL,,4,5,2.4,WINDOW,512
329,Laptop MSI Modern 14 B10MW,14400000,MSI,8,14.0,1920x1080,INTEL,39.0,3,5,1.29,WINDOW,256
330,Apple iMac 24 2021 M1 7GPU 16GB 256GB Chính Hãng,37000000,APPLE,16,24.0,4480x2520,INTEL,,,5,4.46,MACOS,256
331,Laptop MSI Gaming GL75 Leopard 10SCSK 056VN,21090000,MSI,8,17.3,1080x1920,INTEL,41.0,,5,60.0,WINDOW,512
332,Laptop Acer Aspire 3 A315-58G-50S4 NX.ADUSV.001,16790000,ACER,8,15.6,1920x1080,INTEL,7.0,2,5,1.9,WINDOW,512
333,Laptop HP 245 G8 53Y18PA,11490000,HP,4,14.0,1366x768,INTEL,41.0,3,4,1.47,WINDOW,256
334,Laptop Lenovo Yoga Slim 7 14ITL05,20490000,LENOVO,,14.0,1920x1080,INTEL,60.7,4,5,1.5,WINDOW,512
335,Laptop Lenovo Gaming Legion 5 15IMH05,24990000,LENOVO,16,15.6,1920x1080,INTEL,60.0,,5,2.3,WINDOW,512
336,Laptop Dell Vostro 3500 P112F002ABL,20990000,DELL,8,15.6,,INTEL,,,5,1.78,WINDOW,512
337,Laptop Lenovo Ideapad Gaming 3 15ACH6 82K2010GVN,18490000,LENOVO,8,15.6,1920x1080,INTEL,45.0,3,5,2.25,WINDOW,512
338,Laptop MSI Gaming GF63 Thin 11UD - 628VN,21990000,MSI,8,15.6,1920x1080,INTEL,51.0,3,5,1.86,WINDOW,512
339,Laptop MSI Crosshair 15 B12UEZ-460VN,38690000,MSI,16,15.6,2560x1440,INTEL,53.5,3,5,2.3,WINDOW,1024
340,Laptop Dell Inspiron 15 3505 Y1N1T3,15190000,DELL,8,15.6,1920x1080,INTEL,42.0,3,4,1.83,WINDOW,256
341,Laptop Lenovo Legion 5 Pro 16ACH6H 82JQ001VVN,41190000,LENOVO,16,16.0,2560x1600,INTEL,80.0,4,5,2.45,WINDOW,512
342,Laptop Acer Gaming Nitro 5 Eagle AN515-57-56S5 NH.QEKSV.001,22390000,ACER,8,15.6,1920x1080,INTEL,57.0,4,5,2.2,WINDOW,512
343,Laptop Dell inspirion 3000 I3501 3692BLK,13990000,DELL,8,15.6,1920x1080,INTEL,,3,,1.7,WINDOW,256
344,Laptop ASUS TUF DASH Gaming F15 FX517ZC-HN079W,23590000,ASUS,8,15.6,1920x1080,INTEL,76.0,4,5,2.0,WINDOW,512
345,Laptop HP 14 DQ2043CL Nhập Khẩu Chính Hãng,13490000,HP,8,14.0,1920x1080,INTEL,41.0,3,5,1.46,WINDOW,256
346,Laptop Dell Vostro 5515 K4Y9X1,20990000,DELL,8,15.6,1920x1080,INTEL,54.0,4,5,1.7,WINDOW,512
347,Laptop Dell Inspiron 14 i5410 5149SLV Nhập khẩu chính hãng,19990000,DELL,8,14.0,1920x1080,INTEL,41.0,3,5,1.5,WINDOW,512
348,Macbook Pro 14 inch 2021 M1 Max 10 CPU - 32 GPU 32GB 1TB sạc 96W | Chính hãng Apple Việt Nam,81990000,APPLE,32,14.2,3024x1964,INTEL,,,5,1.6,,1024
349,Laptop Acer Swift 3X SF314-510G-57MR NX.A10SV.004,20390000,ACER,8,14.0,1920x1080,INTEL,58.7,4,5,1.37,WINDOW,512
350,Laptop ASUS Vivobook X515EA-BQ1006T,13190000,ASUS,4,15.6,1920x1080,INTEL,37.0,2,4,1.8,WINDOW,512
351,Laptop ASUS VivoBook M513UA-L1240T,19690000,ASUS,8,15.6,1920x1080,INTEL,42.0,3,5,1.8,WINDOW,512
352,Laptop MSI Katana GF76 11UC-096VN,26990000,MSI,8,17.3,1080x1920,INTEL,53.5,3,5,2.3,WINDOW,512
353,Macbook Pro 14 inch 2021 M1 Max 10 CPU - 32 GPU 64GB 1TB sạc 96W | Chính hãng Apple Việt Nam,95990000,APPLE,64,14.2,3024x1964,INTEL,,,5,1.6,,1024
354,Laptop Acer Swift 3 SF314-43-R4X3 NX.AB1SV.004,17690000,ACER,16,14.0,1920x1080,INTEL,,3,5,1.19,WINDOW,512
355,Laptop Lenovo Legion 7 16ACHG6 82N600NSVN,67990000,LENOVO,32,16.0,2560x1600,INTEL,80.0,,5,2.5,WINDOW,1024
356,Laptop Lenovo Ideapad Gaming 3 15IHU6 82K100KLVN,18990000,LENOVO,8,15.6,1920x1080,INTEL,45.0,,5,2.25,WINDOW,512
357,Laptop ASUS ExpertBook B5 Flip B5302FEA-LG0557T,23090000,ASUS,8,13.3,1920x1080,INTEL,66.0,4,5,1.2,WINDOW,512
358,Laptop HP 14S-FQ1066AU 4K0Z6PA,13990000,HP,8,14.0,1366x768,INTEL,41.0,3,4,1.47,WINDOW,256
359,Laptop Lenovo Ideapad 3 14ALC6,14190000,LENOVO,8,14.0,1920x1080,INTEL,38.0,,5,1.41,WINDOW,512
360,Laptop Lenovo Ideapad S340-13IML,11990000,LENOVO,8,13.3,1920x1080,INTEL,,3,5,1.3,WINDOW,512
361,Laptop MSI Summit E13 FLIP EVO A11MT-211VN,35990000,MSI,16,13.4,1920x1200,INTEL,70.0,4,5,35.0,WINDOW,1024
362,Laptop Avita Liber V14,14890000,AVITA,8,14.0,1920x1080,INTEL,,3,4,1.28,WINDOW,512
363,Laptop Asus Vivobook X415EA BV451W,7990000,ASUS,4,14.0,1366x768,INTEL,,2,,,WINDOW,256
364,Laptop ASUS VivoBook Pro M3500QC-L1105T,22490000,ASUS,8,15.6,1920x1080,INTEL,63.0,3,5,1.65,WINDOW,512
